,name,port_id,lat_port,lon_port,iso2,h3_5
263,KLAIPEDA,9493,55.7176,21.13405,lt,599531926121873407
129,KLINTEHAMN,9447,57.38342,18.183,se,599129842021040127
774,KLINTEHAMN,9447,57.38342,18.183,se,599129809808785407
775,KLINTEHAMN,9447,57.38342,18.183,se,599129843094781951
776,KLINTEHAMN,9447,57.38342,18.183,se,599129846316007423
777,KLINTEHAMN,9447,57.38342,18.183,se,599129839873556479
778,KLINTEHAMN,9447,57.38342,18.183,se,599129802292592639
779,KLINTEHAMN,9447,57.38342,18.183,se,599129797997625343
44,KOKKOLA,231,63.8495,23.1333,fi,599134061826408447
264,KOKKOLA,231,63.8495,23.1333,fi,599134062900150271
265,KOKKOLA,231,63.8495,23.1333,fi,599134063973892095
266,KOKKOLA,231,63.8495,23.1333,fi,599134094038663167
267,KOKKOLA,231,63.8495,23.1333,fi,599134095112404991
268,KOKKOLA,231,63.8495,23.1333,fi,599134110144790527
269,KOKKOLA,231,63.8495,23.1333,fi,599134057531441151
45,KOTKA,74,60.4667,26.951,fi,599280212047298559
270,KOTKA,74,60.4667,26.951,fi,599280191646203903
271,KOTKA,74,60.4667,26.951,fi,599280210973556735
272,KOTKA,74,60.4667,26.951,fi,599280459007918079
273,KOTKA,74,60.4667,26.951,fi,599280195941171199
274,KOTKA,74,60.4667,26.951,fi,599280207752331263
275,KOTKA,74,60.4667,26.951,fi,599280206678589439
46,KOVERHAR,104,59.88351,23.21656,fi,599129980533735423
276,KOVERHAR,104,59.88351,23.21656,fi,599129948321480703
277,KOVERHAR,104,59.88351,23.21656,fi,599130061064372223
278,KOVERHAR,104,59.88351,23.21656,fi,599129977312509951
279,KOVERHAR,104,59.88351,23.21656,fi,599129978386251775
280,KOVERHAR,104,59.88351,23.21656,fi,599129947247738879
281,KOVERHAR,104,59.88351,23.21656,fi,599129979459993599
47,KRAMFORS,321441,62.9345,17.7844,se,599131124068777983
282,KRAMFORS,321441,62.9345,17.7844,se,599131125142519807
283,KRAMFORS,321441,62.9345,17.7844,se,599131126216261631
284,KRAMFORS,321441,62.9345,17.7844,se,599131156281032703
285,KRAMFORS,321441,62.9345,17.7844,se,599131157354774527
286,KRAMFORS,321441,62.9345,17.7844,se,599131043538141183
287,KRAMFORS,321441,62.9345,17.7844,se,599131119773810687
48,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599128882095849471
288,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599128883169591295
289,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599128884243333119
290,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599129197775945727
291,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599129198849687551
292,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599128870284689407
293,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,599128877800882175
49,KRISTINEHAMN,21414,59.31659,14.1123,se,599131954071207935
294,KRISTINEHAMN,21414,59.31659,14.1123,se,599131691004461055
295,KRISTINEHAMN,21414,59.31659,14.1123,se,599131693151944703
296,KRISTINEHAMN,21414,59.31659,14.1123,se,599131958366175231
297,KRISTINEHAMN,21414,59.31659,14.1123,se,599131937965080575
298,KRISTINEHAMN,21414,59.31659,14.1123,se,599131952997466111
299,KRISTINEHAMN,21414,59.31659,14.1123,se,599131956218691583
4,KUNDA,34679,59.5158,26.53313,ee,599281467251490815
24,KUNDA,34679,59.5158,26.53313,ee,599281515569872895
25,KUNDA,34679,59.5158,26.53313,ee,599281483357618175
26,KUNDA,34679,59.5158,26.53313,ee,599281513422389247
27,KUNDA,34679,59.5158,26.53313,ee,599281465104007167
28,KUNDA,34679,59.5158,26.53313,ee,599281462956523519
29,KUNDA,34679,59.5158,26.53313,ee,599281460809039871
146,Kuopio,8020,62.88312,27.68342,fi,599280900315807743
876,Kuopio,8020,62.88312,27.68342,fi,599280132590403583
877,Kuopio,8020,62.88312,27.68342,fi,599280100378148863
878,Kuopio,8020,62.88312,27.68342,fi,599280130442919935
879,Kuopio,8020,62.88312,27.68342,fi,599280898168324095
880,Kuopio,8020,62.88312,27.68342,fi,599280896020840447
881,Kuopio,8020,62.88312,27.68342,fi,599280893873356799
50,KÖGE,55,55.45124,12.183431,dk,599524504418385919
300,KÖGE,55,55.45124,12.183431,dk,599524506565869567
301,KÖGE,55,55.45124,12.183431,dk,599524510860836863
302,KÖGE,55,55.45124,12.183431,dk,599524508713353215
303,KÖGE,55,55.45124,12.183431,dk,599524509787095039
304,KÖGE,55,55.45124,12.183431,dk,599524505492127743
305,KÖGE,55,55.45124,12.183431,dk,599524507639611391
51,KÖPENHAMN,4305,55.68332,12.5899,dk,599524487238516735
306,KÖPENHAMN,4305,55.68332,12.5899,dk,599524489386000383
307,KÖPENHAMN,4305,55.68332,12.5899,dk,599524493680967679
308,KÖPENHAMN,4305,55.68332,12.5899,dk,599524491533484031
309,KÖPENHAMN,4305,55.68332,12.5899,dk,599524492607225855
