,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
174,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508ae2bfffffff,599131209968123903
175,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508aa83fffffff,599131209968123903
176,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508ae67fffffff,599131209968123903
177,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508aa9bfffffff,599131209968123903
178,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508ae2ffffffff,599131209968123903
179,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508aa97fffffff,599131209968123903
30,HUSUM,28,63.35443,19.15326,se,baltic,8508f6c7fffffff,599136446606999551
180,HUSUM,28,63.35443,19.15326,se,baltic,8508f6c3fffffff,599136446606999551
181,HUSUM,28,63.35443,19.15326,se,baltic,8508f6d7fffffff,599136446606999551
182,HUSUM,28,63.35443,19.15326,se,baltic,8508f613fffffff,599136446606999551
183,HUSUM,28,63.35443,19.15326,se,baltic,8508f61bfffffff,599136446606999551
184,HUSUM,28,63.35443,19.15326,se,baltic,8508f6cffffffff,599136446606999551
185,HUSUM,28,63.35443,19.15326,se,baltic,8508f68bfffffff,599136446606999551
31,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508a82ffffffff,599131045685624831
186,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508ab93fffffff,599131045685624831
187,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508a823fffffff,599131045685624831
188,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508a82bfffffff,599131045685624831
189,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508a95bfffffff,599131045685624831
190,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508ab97fffffff,599131045685624831
191,HÄRNÖSAND,19,62.63432,17.93243,se,baltic,8508a827fffffff,599131045685624831
128,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f23affffffff,599526560633978879
768,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f23a3fffffff,599526560633978879
769,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f2333fffffff,599526560633978879
